"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL110","BGHOSPITAL 6",2,1,0.142857142857143,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"KL16","BGHOSPITAL 6",1,1,0.0714285714285714,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"KL125","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL30","BGHOSPITAL 3",1,1,0.0416666666666667,0.05,24,20,"South Africa","Southern Africa","BabyGERMS"
"KL54","BGHOSPITAL 4",1,1,0.0454545454545455,0.0909090909090909,22,11,"South Africa","Southern Africa","BabyGERMS"
"KL8","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL2","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"KL17","BGHOSPITAL 6",1,1,0.0714285714285714,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"KL8","BGHOSPITAL 4",1,1,0.0454545454545455,0.0909090909090909,22,11,"South Africa","Southern Africa","BabyGERMS"
"KL149","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"KL109","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL39","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL3","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL134","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL106","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL47","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL112","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL180","Blantyre",4,1,0.0110497237569061,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL111","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL104","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL67","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL122","Blantyre",2,1,0.00552486187845304,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL45","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL117","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL61","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL51","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL48","Blantyre",11,1,0.0303867403314917,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL35","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL108","Blantyre",1,1,0.00276243093922652,0.00757575757575758,362,132,"Malawi","Eastern Africa","MLW"
"KL110","CHRFCMOSH",2,1,0.111111111111111,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL54","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL27","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL3","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL24","CHRFCMOSH",2,1,0.111111111111111,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL52","CHRFDSH",1,1,0.00393700787401575,0.012987012987013,254,77,"Bangladesh","Southern Asia","CHRF"
"KL23","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL9","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL27","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"KL62","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL131","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"KL131","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
