locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL24,CHRFCMOSH,2,1,0.125,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL52,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL23,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL9,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL27,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL62,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL131,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
KL131,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL47,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL25,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL128,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL38,CHRFDSH,2,1,0.0078740157480315,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL124,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL2,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL24,CHRFDSH,1,1,0.00393700787401575,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL149,CHRFDSH,3,1,0.0118110236220472,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL62,CHRFDSH,18,1,0.0708661417322835,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL136,CHRFDSH,3,1,0.0118110236220472,0.012987012987013,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
